TableName,ColumnName,Exists
SEQ,True
MV_NO,True
MOD_ID,True
MOD_DATE,True
FISCAL_YR,True
START_DT,True
CI_NO,True
MV_NO,True
INSP_LPD_IN,True
INSP_LPD_OUT,True
INSP_SCRATCHES,True
INSP_SCRATCH_LEN,True
INSP_PITS,True
INSP_MOUNDS,True
INSP_STACK_FAULTS,True
INSP_SPIKES,True
INSP_SPOTS,True
INSP_FOV,True
INSP_BL_DEFECTS,True
INSP_SIG,True
INSP_SIG_DTM,True
CASS_ID_SAP,True
REACT_NO,True
AREA,True
CAB,True
POS,True
WO_NO,True
CASS_NO,True
MV_NO,True
INV_DTM,True
INV_WH,True
INV_LOCATION,True
INV_LOC_DESC,True
INV_ACTION,True
INV_USER,True
INV_TAG,True
INV_TOOL_ID,True
REP_STATUS,True
CURR_LOCATION,True
CURR_LOCATION_DESC,True
CASS_ID_SAP,True
MU_BOX,True
CURR_WFR_CNT,True
WIP_START_DTM,True
WIP_STOP_DTM,True
LOAD_WFR_CNT,True
WO_REACT_TYPE,True
INV_WH_DESC,True
FISCAL_YR,True
MV_NO,True
FISCAL_QTR,True
SEQ,True
MV_NO,True
REACTOR_TYPE,True
DISK,True
CL_NO,True
CAL_DT,True
CAL_BY,True
NOTES,True
CI_NO,True
MV_NO,True
SCAN_TOOL,True
SCAN_SUM_OF_DEF_MIN,True
SCAN_SUM_OF_DEF_MAX,True
SCAN_SUM_OF_DEF_AVG,True
SCAN_HAZE_AVG_MIN,True
SCAN_HAZE_AVG_MAX,True
SCAN_HAZE_AVG_AVG,True
SCAN_SIG,True
SCAN_SIG_DTM,True
CASS_ID_SAP,True
SPEC_SURFSCAN_RECIPE,True
SPEC_SS_SAMP_QTY,True
SPEC_SURF_HAZE,True
SPEC_SURF_DEFECTS,True
MV_NO,True
CO_NO,True
PHONES,True
PHONE_TYPES,True
SEQ,True
MV_NO,True
PART_NUMS,True
EPI_PN,True
SPEC_TYPE,True
EXPORT_CONTROL,True
SEQ,True
ENTRY_ID,True
ENTRY_DATE,True
DATE_CHANGED,True
TIME_CHANGED,True
H2O2_AMOUNT,True
WATER_AMOUNT,True
TECH_SIG,True
SEQ,True
MV_NO,True
RMOD_FIELD,True
RMOD_ID,True
CL_NO,True
CL_TYPE,True
EQ_DESC,True
EQ_SN,True
EQ_LOC,True
EQ_LEVEL,True
EQ_CAL_CLASS,True
STD_DESC,True
STD_SN,True
STD_LOC,True
CAL_INTERVAL,True
CAL_LOC,True
ENTER_DTM,True
LAST_CAL_DT,True
NEXT_CAL_DT,True
CAL_LOC_DESC,True
CAL_NOTES,True
TYPE_DESC,True
MV_NO,True
CO_NO,True
INTL_PHONES,True
INTL_PHONE_TYPES,True
REACT_NO,True
MV_NO,True
ACTIVE_ESCALATION,True
FISCAL_YR,True
FISCAL_QTR,True
MV_NO,True
THRU_GROUP,True
THRU_TARGET,True
THRU_QTY,True
THRU_PCNT,True
SEQ,True
MV_NO,True
QUOTE_NO,True
SEQ,True
EPI_DOPANT,True
EPI_TEMP,True
EPI_DILUENT,True
EPI_GASES,True
EPI_GASES_UNIT,True
ETCH_TIME,True
NOTES,True
RECIPE_NAME,True
ENTRY_ID,True
ENTRY_DATE,True
EPI_GAS_RATE,True
CAP_BURST,True
CAP_BURST_GASES,True
STATUS,True
ENG_SIG,True
ETCH1_MIN,True
ETCH1_MAX,True
