TableName,ColumnName,Exists
RECIPE_MODIFY,SEQ,True
RECIPE_MODIFY,MV_NO,True
RECIPE_MODIFY,MOD_ID,True
RECIPE_MODIFY,MOD_DATE,True
FISCAL_YR,FISCAL_YR,True
FISCAL_YR,START_DT,True
CLEAN_INSP_INSP_RESULTS,CI_NO,True
CLEAN_INSP_INSP_RESULTS,MV_NO,True
CLEAN_INSP_INSP_RESULTS,INSP_LPD_IN,True
CLEAN_INSP_INSP_RESULTS,INSP_LPD_OUT,True
CLEAN_INSP_INSP_RESULTS,INSP_SCRATCHES,True
CLEAN_INSP_INSP_RESULTS,INSP_SCRATCH_LEN,True
CLEAN_INSP_INSP_RESULTS,INSP_PITS,True
CLEAN_INSP_INSP_RESULTS,INSP_MOUNDS,True
CLEAN_INSP_INSP_RESULTS,INSP_STACK_FAULTS,True
CLEAN_INSP_INSP_RESULTS,INSP_SPIKES,True
CLEAN_INSP_INSP_RESULTS,INSP_SPOTS,True
CLEAN_INSP_INSP_RESULTS,INSP_FOV,True
CLEAN_INSP_INSP_RESULTS,INSP_BL_DEFECTS,True
CLEAN_INSP_INSP_RESULTS,INSP_SIG,True
CLEAN_INSP_INSP_RESULTS,INSP_SIG_DTM,True
CLEAN_INSP_INSP_RESULTS,CASS_ID_SAP,True
REACTOR_GAS_SRC,REACT_NO,True
REACTOR_GAS_SRC,AREA,True
REACTOR_GAS_SRC,CAB,True
REACTOR_GAS_SRC,POS,True
WO_MAT_INV_WH,WO_NO,True
WO_MAT_INV_WH,CASS_NO,True
WO_MAT_INV_WH,MV_NO,True
WO_MAT_INV_WH,INV_DTM,True
WO_MAT_INV_WH,INV_WH,True
WO_MAT_INV_WH,INV_LOCATION,True
WO_MAT_INV_WH,INV_LOC_DESC,True
WO_MAT_INV_WH,INV_ACTION,True
WO_MAT_INV_WH,INV_USER,True
WO_MAT_INV_WH,INV_TAG,True
WO_MAT_INV_WH,INV_TOOL_ID,True
WO_MAT_INV_WH,REP_STATUS,True
WO_MAT_INV_WH,CURR_LOCATION,True
WO_MAT_INV_WH,CURR_LOCATION_DESC,True
WO_MAT_INV_WH,CASS_ID_SAP,True
WO_MAT_INV_WH,MU_BOX,True
WO_MAT_INV_WH,CURR_WFR_CNT,True
WO_MAT_INV_WH,WIP_START_DTM,True
WO_MAT_INV_WH,WIP_STOP_DTM,True
WO_MAT_INV_WH,LOAD_WFR_CNT,True
WO_MAT_INV_WH,WO_REACT_TYPE,True
WO_MAT_INV_WH,INV_WH_DESC,True
FISCAL_YR_FISCAL_QTR,FISCAL_YR,True
FISCAL_YR_FISCAL_QTR,MV_NO,True
FISCAL_YR_FISCAL_QTR,FISCAL_QTR,True
RECIPE_REACTOR,SEQ,True
RECIPE_REACTOR,MV_NO,True
RECIPE_REACTOR,REACTOR_TYPE,True
RECIPE_REACTOR,DISK,True
CALIBRATION,CL_NO,True
CALIBRATION,CAL_DT,True
CALIBRATION,CAL_BY,True
CALIBRATION,NOTES,True
CLEAN_INSP_SCAN_RESULTS,CI_NO,True
CLEAN_INSP_SCAN_RESULTS,MV_NO,True
CLEAN_INSP_SCAN_RESULTS,SCAN_TOOL,True
